Nom du projet,Adresse du projet,Code postal,Nombre d'arbres,Saison de plantation,Type d'école,Nom de l'école,Geo_shape,Geo_point_2d,Moyenne du nombre d'arbres,Médiane du nombre d'arbres,Ecart type du nombre d'arbres,Minimum du nombre d'arbres,Maximum du nombre d'arbres,Moyenne du nombre d'arbres plantés pour les écoles maternelles,Moyenne du nombre d'arbres plantés pour les écoles élémentaires,Moyenne du nombre d'arbres plantés pour les écoles polyvalentes,Moyenne du nombre d'arbres plantés pour les écoles maternelles et crèches,Moyenne du nombre d'arbres plantés pour les centres de ressources d'éducation à l'env
VERGER EM GLACIERE (100),100 RUE DE LA GLACIERE,75013,1,2015 - 2016,Ecole maternelle,Ecole maternelle Glacière,"{""coordinates"": [2.3426472724068437, 48.82971345891027], ""type"": ""Point""}","48.82971345891027, 2.3426472724068437",7.979591837,7,4.587563102,1,23,972,456,128,5,3
VERGER EM BOULARD (23),23 RUE BOULARD,75014,10,2016 - 2017,Ecole maternelle,Ecole maternelle Boulard,"{""coordinates"": [2.3292157737573653, 48.83360729521529], ""type"": ""Point""}","48.83360729521529, 2.3292157737573653",,,,,,122,55,17,1,1
VERGER EM ESPERANCE (12),12 RUE DE L ESPERANCE,75013,6,2016 - 2017,Ecole maternelle,Ecole maternelle Esperence,"{""coordinates"": [2.34766906794403, 48.82683391721055], ""type"": ""Point""}","48.82683391721055, 2.34766906794403",,,,,,7.967213115,8.290909091,7.529411765,5,3
VERGER EE BOILEAU (17-23),17 RUE BOILEAU,75016,11,2016 - 2017,Ecole élémentaire,Ecole élémentaire Boileau,"{""coordinates"": [2.265350670263142, 48.84613525705825], ""type"": ""Point""}","48.84613525705825, 2.265350670263142",,,,,,,,,,
VERGER EM PERCHAMPS (38),38 RUE DES PERCHAMPS,75016,10,2016 - 2017,Ecole maternelle,Ecole maternelle Perchamps,"{""coordinates"": [2.268129628558828, 48.84900133347593], ""type"": ""Point""}","48.84900133347593, 2.268129628558828",,,,,,,,,,
VERGER EM CLOYS (41),41 RUE DES CLOYS,75018,9,2016 - 2017,Ecole maternelle,Ecole maternelle Cloys,"{""coordinates"": [2.3382507128085006, 48.892677178155594], ""type"": ""Point""}","48.892677178155594, 2.3382507128085006",,,,,,,,,,
VERGER EM JOSEPH DE MAISTRE (94) - Phase 2,94 RUE JOSEPH DE MAISTRE,75018,2,2017 - 2018,Ecole maternelle,Ecole maternelle Joseph de Maistre,"{""coordinates"": [2.3308648178827664, 48.893073851736396], ""type"": ""Point""}","48.893073851736396, 2.3308648178827664",,,,,,,,,,
VERGER EM ROCHECHOUART (22),22 RUE ROCHECHOUART,75009,19,2017 - 2018,Ecole maternelle,Ecole maternelle Rochechouart,"{""coordinates"": [2.3453595986538107, 48.87773314045093], ""type"": ""Point""}","48.87773314045093, 2.3453595986538107",,,,,,,,,,
VERGER EE PARC DES PRINCES (23),23 AVENUE DU PARC DES PRINCES,75016,20,2018 - 2019,Ecole élémentaire,Ecole élémentaire Parc des Princes,"{""coordinates"": [2.254863999715661, 48.84069274224852], ""type"": ""Point""}","48.84069274224852, 2.254863999715661",,,,,,,,,,
VERGER EM COLETTE MAGNY (21),21 RUE COLETTE MAGNY,75019,7,2018 - 2019,Ecole maternelle,Ecole maternelle Colette Magny,"{""coordinates"": [2.375267517995256, 48.89513483798648], ""type"": ""Point""}","48.89513483798648, 2.375267517995256",,,,,,,,,,
VERGER EM CAMBRAI (5 BIS),5 BIS RUE DE CAMBRAI,75019,11,2018 - 2019,Ecole élémentaire,Ecole élémentaire Cambrai,"{""coordinates"": [2.3781271317185233, 48.89511057269064], ""type"": ""Point""}","48.89511057269064, 2.3781271317185233",,,,,,,,,,
VERGER EM LEPAGE (11),11 CITE LEPAGE,75019,8,2019 - 2020,Ecole maternelle,Ecole maternelle Lepage,"{""coordinates"": [2.371721567265988, 48.88044818626531], ""type"": ""Point""}","48.88044818626531, 2.371721567265988",,,,,,,,,,
VERGER EE MARYSE HILSZ (20),20 RUE MARYSE HILSZ,75020,4,2015 - 2016,Ecole élémentaire,Ecole élémentaire Maryse Hilsz,"{""coordinates"": [2.4137901803944257, 48.8506744646685], ""type"": ""Point""}","48.8506744646685, 2.4137901803944257",,,,,,,,,,
VERGER EM JOSEPH DE MAISTRE (94) - Phase 1,94 RUE JOSEPH DE MAISTRE,75018,14,2015 - 2016,Ecole maternelle,Ecole maternelle Joseph de Maistre,"{""coordinates"": [2.330864690622496, 48.89307377818006], ""type"": ""Point""}","48.89307377818006, 2.330864690622496",,,,,,,,,,
VERGER EM SOUZY (5),5 CITE SOUZY,75011,8,2017 - 2018,Ecole maternelle,Ecole maternelle Souzy,"{""coordinates"": [2.3883530548886673, 48.851567468438176], ""type"": ""Point""}","48.851567468438176, 2.3883530548886673",,,,,,,,,,
VERGER EM OUEST (13),13 RUE DE L OUEST,75014,9,2017 - 2018,Ecole maternelle,Ecole maternelle Ouest,"{""coordinates"": [2.3220174379854046, 48.836980934865615], ""type"": ""Point""}","48.836980934865615, 2.3220174379854046",,,,,,,,,,
VERGER EM CARPEAUX (5-7),5 RUE CARPEAUX,75018,7,2017 - 2018,Ecole maternelle,Ecole maternelle Carpeaux,"{""coordinates"": [2.3297861712957415, 48.8905135920128], ""type"": ""Point""}","48.8905135920128, 2.3297861712957415",,,,,,,,,,
VERGER EE ROUELLE (25),25 RUE ROUELLE,75015,19,2018 - 2019,Ecole élémentaire,Ecole élémentaire Rouelle,"{""coordinates"": [2.2877096962656194, 48.850501708832205], ""type"": ""Point""}","48.850501708832205, 2.2877096962656194",,,,,,,,,,
